2,3,BLACK,GameStatus.BLACK_WINS
4,2,WHITE,GameStatus.BLACK_WINS
5,1,BLACK,GameStatus.BLACK_WINS
4,1,WHITE,GameStatus.BLACK_WINS
3,1,BLACK,GameStatus.BLACK_WINS
2,0,WHITE,GameStatus.BLACK_WINS
4,5,BLACK,GameStatus.BLACK_WINS
5,3,WHITE,GameStatus.BLACK_WINS
2,1,BLACK,GameStatus.BLACK_WINS
2,2,WHITE,GameStatus.BLACK_WINS
1,1,BLACK,GameStatus.BLACK_WINS
4,6,WHITE,GameStatus.BLACK_WINS
4,7,BLACK,GameStatus.BLACK_WINS
1,3,WHITE,GameStatus.BLACK_WINS
2,4,BLACK,GameStatus.BLACK_WINS
3,5,WHITE,GameStatus.BLACK_WINS
0,2,BLACK,GameStatus.BLACK_WINS
0,0,WHITE,GameStatus.BLACK_WINS
6,3,BLACK,GameStatus.BLACK_WINS
6,2,WHITE,GameStatus.BLACK_WINS
7,1,BLACK,GameStatus.BLACK_WINS
2,5,WHITE,GameStatus.BLACK_WINS
2,6,BLACK,GameStatus.BLACK_WINS
6,4,WHITE,GameStatus.BLACK_WINS
0,1,BLACK,GameStatus.BLACK_WINS
5,5,WHITE,GameStatus.BLACK_WINS
4,0,BLACK,GameStatus.BLACK_WINS
0,3,WHITE,GameStatus.BLACK_WINS
6,6,BLACK,GameStatus.BLACK_WINS
2,7,WHITE,GameStatus.BLACK_WINS
7,5,BLACK,GameStatus.BLACK_WINS
6,5,WHITE,GameStatus.BLACK_WINS
1,5,BLACK,GameStatus.BLACK_WINS
7,3,WHITE,GameStatus.BLACK_WINS
0,4,BLACK,GameStatus.BLACK_WINS
3,6,WHITE,GameStatus.BLACK_WINS
1,2,BLACK,GameStatus.BLACK_WINS
5,6,WHITE,GameStatus.BLACK_WINS
1,6,BLACK,GameStatus.BLACK_WINS
6,0,WHITE,GameStatus.BLACK_WINS
3,2,BLACK,GameStatus.BLACK_WINS
3,7,WHITE,GameStatus.BLACK_WINS
5,4,BLACK,GameStatus.BLACK_WINS
6,7,WHITE,GameStatus.BLACK_WINS
7,6,BLACK,GameStatus.BLACK_WINS
5,2,WHITE,GameStatus.BLACK_WINS
6,1,BLACK,GameStatus.BLACK_WINS
5,7,WHITE,GameStatus.BLACK_WINS
7,2,BLACK,GameStatus.BLACK_WINS
1,4,WHITE,GameStatus.BLACK_WINS
1,0,BLACK,GameStatus.BLACK_WINS
5,0,WHITE,GameStatus.BLACK_WINS
3,0,BLACK,GameStatus.BLACK_WINS
0,7,WHITE,GameStatus.BLACK_WINS
7,0,BLACK,GameStatus.BLACK_WINS
1,7,WHITE,GameStatus.BLACK_WINS
0,6,BLACK,GameStatus.BLACK_WINS
0,5,WHITE,GameStatus.BLACK_WINS
7,4,BLACK,GameStatus.BLACK_WINS
7,7,WHITE,GameStatus.BLACK_WINS
